clientReference,accountReference,effectiveDateTime
32208,332208,2018-02-12
32209,332209,2018-02-11
32210,332210,2018-02-10
32211,332211,2018-02-09
32212,332212,2018-02-08
32213,332213,2018-02-07
32214,332214,2018-02-06
32215,332215,2018-02-05
32216,332216,2018-02-04
32217,332217,2018-02-03
32218,332218,2018-02-02
32219,332219,2018-02-01
32220,332220,2018-01-31
32221,332221,2018-01-30
32222,332222,2018-01-29
32223,332223,2018-01-28
32224,332224,2018-01-27
32225,332225,2018-01-26
32226,332226,2018-01-25
32227,332227,2018-01-24
32228,332228,2018-01-23
32229,332229,2018-01-22
32230,332230,2018-01-21
32231,332231,2018-01-20
32232,332232,2018-01-19
32233,332233,2018-01-18
32234,332234,2018-01-17
32235,332235,2018-01-16
32236,332236,2018-01-15
32237,332237,2018-01-14
32238,332238,2018-01-13
32239,332239,2018-01-12
32240,332240,2018-01-11
32241,332241,2018-01-10
32242,332242,2018-01-09
32243,332243,2018-01-08
32244,332244,2018-01-07
32245,332245,2018-01-06
32246,332246,2018-01-05
32247,332247,2018-01-04
32248,332248,2018-01-03
32249,332249,2018-01-02
32250,332250,2018-01-01
32251,332251,2017-12-31
32252,332252,2017-12-30
32253,332253,2017-12-29
32254,332254,2017-12-28
32255,332255,2017-12-27
32256,332256,2017-12-26
32257,332257,2017-12-25
32258,332258,2017-12-24
32259,332259,2017-12-23
32260,332260,2017-12-22
32261,332261,2017-12-21
32262,332262,2017-12-20
32263,332263,2017-12-19
32264,332264,2017-12-18
32265,332265,2017-12-17
32266,332266,2017-12-16
32267,332267,2017-12-15
32268,332268,2017-12-14
32269,332269,2017-12-13
32270,332270,2017-12-12
32271,332271,2017-12-11
32272,332272,2017-12-10
32273,332273,2017-12-09
32274,332274,2017-12-08
32275,332275,2017-12-07
32276,332276,2017-12-06
32277,332277,2017-12-05
32278,332278,2017-12-04
32279,332279,2017-12-03
32280,332280,2017-12-02
32281,332281,2017-12-01
32282,332282,2017-11-30
32283,332283,2017-11-29
32284,332284,2017-11-28
32285,332285,2017-11-27
32286,332286,2017-11-26
32287,332287,2017-11-25
32288,332288,2017-11-24
32289,332289,2017-11-23
32290,332290,2017-11-22
32291,332291,2017-11-21
32292,332292,2017-11-20
32293,332293,2017-11-19
32294,332294,2017-11-18
32295,332295,2017-11-17
32296,332296,2017-11-16
32297,332297,2017-11-15
32298,332298,2017-11-14
32299,332299,2017-11-13
32300,332300,2017-11-12
32301,332301,2017-11-11
32302,332302,2017-11-10
32303,332303,2017-11-09
32304,332304,2017-11-08
32305,332305,2017-11-07
32306,332306,2017-11-06
32307,332307,2017-11-05
32308,332308,2017-11-04
32309,332309,2017-11-03
32310,332310,2017-11-02
32311,332311,2017-11-01
32312,332312,2017-10-31
32313,332313,2017-10-30
32314,332314,2017-10-29
32315,332315,2017-10-28
32316,332316,2017-10-27
32317,332317,2017-10-26
32318,332318,2017-10-25
32319,332319,2017-10-24
32320,332320,2017-10-23
32321,332321,2017-10-22
32322,332322,2017-10-21
32323,332323,2017-10-20
32324,332324,2017-10-19
32325,332325,2017-10-18
32326,332326,2017-10-17
32327,332327,2017-10-16
32328,332328,2017-10-15
32329,332329,2017-10-14
32330,332330,2017-10-13
32331,332331,2017-10-12
32332,332332,2017-10-11
32333,332333,2017-10-10
32334,332334,2017-10-09
32335,332335,2017-10-08
32336,332336,2017-10-07
32337,332337,2017-10-06
32338,332338,2017-10-05
32339,332339,2017-10-04
32340,332340,2017-10-03
32341,332341,2017-10-02
32342,332342,2017-10-01
32343,332343,2017-09-30
32344,332344,2017-09-29
32345,332345,2017-09-28
32346,332346,2017-09-27
32347,332347,2017-09-26
32348,332348,2017-09-25
32349,332349,2017-09-24
32350,332350,2017-09-23
32351,332351,2017-09-22
32352,332352,2017-09-21
32353,332353,2017-09-20
32354,332354,2017-09-19
32355,332355,2017-09-18
32356,332356,2017-09-17
32357,332357,2017-09-16
32358,332358,2017-09-15
32359,332359,2017-09-14
32360,332360,2017-09-13
32361,332361,2017-09-12
32362,332362,2017-09-11
32363,332363,2017-09-10
32364,332364,2017-09-09
32365,332365,2017-09-08
32366,332366,2017-09-07
32367,332367,2017-09-06
32368,332368,2017-09-05
32369,332369,2017-09-04
32370,332370,2017-09-03
32371,332371,2017-09-02
32372,332372,2017-09-01
32373,332373,2017-08-31
32374,332374,2017-08-30
32375,332375,2017-08-29
32376,332376,2017-08-28
32377,332377,2017-08-27
32378,332378,2017-08-26
32379,332379,2017-08-25
32380,332380,2017-08-24
32381,332381,2017-08-23
32382,332382,2017-08-22
32383,332383,2017-08-21
32384,332384,2017-08-20
32385,332385,2017-08-19
32386,332386,2017-08-18
32387,332387,2017-08-17
32388,332388,2017-08-16
32389,332389,2017-08-15
32390,332390,2017-08-14
32391,332391,2017-08-13
32392,332392,2017-08-12
32393,332393,2017-08-11
32394,332394,2017-08-10
32395,332395,2017-08-09
32396,332396,2017-08-08
32397,332397,2017-08-07
32398,332398,2017-08-06
32399,332399,2017-08-05
32400,332400,2017-08-04
32401,332401,2017-08-03
32402,332402,2017-08-02
32403,332403,2017-08-01
32404,332404,2017-07-31
32405,332405,2017-07-30
32406,332406,2017-07-29
32407,332407,2017-07-28
32408,332408,2017-07-27
32409,332409,2017-07-26
32410,332410,2017-07-25
32411,332411,2017-07-24
32412,332412,2017-07-23
32413,332413,2017-07-22
32414,332414,2017-07-21
32415,332415,2017-07-20
32416,332416,2017-07-19
32417,332417,2017-07-18
32418,332418,2017-07-17
32419,332419,2017-07-16
32420,332420,2017-07-15
32421,332421,2017-07-14
32422,332422,2017-07-13
32423,332423,2017-07-12
32424,332424,2017-07-11
32425,332425,2017-07-10
32426,332426,2017-07-09
32427,332427,2017-07-08
32428,332428,2017-07-07
32429,332429,2017-07-06
32430,332430,2017-07-05
32431,332431,2017-07-04
32432,332432,2017-07-03
32433,332433,2017-07-02
32434,332434,2017-07-01
32435,332435,2017-06-30
32436,332436,2017-06-29
32437,332437,2017-06-28
32438,332438,2017-06-27
32439,332439,2017-06-26
32440,332440,2017-06-25
32441,332441,2017-06-24
32442,332442,2017-06-23
32443,332443,2017-06-22
32444,332444,2017-06-21
32445,332445,2017-06-20
32446,332446,2017-06-19
32447,332447,2017-06-18
32448,332448,2017-06-17
32449,332449,2017-06-16
32450,332450,2017-06-15
32451,332451,2017-06-14
32452,332452,2017-06-13
32453,332453,2017-06-12
32454,332454,2017-06-11
32455,332455,2017-06-10
32456,332456,2017-06-09
32457,332457,2017-06-08
32458,332458,2017-06-07
32459,332459,2017-06-06
32460,332460,2017-06-05
32461,332461,2017-06-04
32462,332462,2017-06-03
32463,332463,2017-06-02
32464,332464,2017-06-01
32465,332465,2017-05-31
32466,332466,2017-05-30
32467,332467,2017-05-29
32468,332468,2017-05-28
32469,332469,2017-05-27
32470,332470,2017-05-26
32471,332471,2017-05-25
32472,332472,2017-05-24
32473,332473,2017-05-23
32474,332474,2017-05-22
32475,332475,2017-05-21
32476,332476,2017-05-20
32477,332477,2017-05-19
32478,332478,2017-05-18
32479,332479,2017-05-17
32480,332480,2017-05-16
32481,332481,2017-05-15
32482,332482,2017-05-14
32483,332483,2017-05-13
32484,332484,2017-05-12
32485,332485,2017-05-11
32486,332486,2017-05-10
32487,332487,2017-05-09
32488,332488,2017-05-08
32489,332489,2017-05-07
32490,332490,2017-05-06
32491,332491,2017-05-05
32492,332492,2017-05-04
32493,332493,2017-05-03
32494,332494,2017-05-02
32495,332495,2017-05-01
32496,332496,2017-04-30
32497,332497,2017-04-29
32498,332498,2017-04-28
32499,332499,2017-04-27
32500,332500,2017-04-26
32501,332501,2017-04-25
32502,332502,2017-04-24
32503,332503,2017-04-23
32504,332504,2017-04-22
32505,332505,2017-04-21
32506,332506,2017-04-20
32507,332507,2017-04-19
32508,332508,2017-04-18
32509,332509,2017-04-17
32510,332510,2017-04-16
32511,332511,2017-04-15
32512,332512,2017-04-14
32513,332513,2017-04-13
32514,332514,2017-04-12
32515,332515,2017-04-11
32516,332516,2017-04-10
32517,332517,2017-04-09
32518,332518,2017-04-08
32519,332519,2017-04-07
32520,332520,2017-04-06
32521,332521,2017-04-05
32522,332522,2017-04-04
32523,332523,2017-04-03
32524,332524,2017-04-02
32525,332525,2017-04-01
32526,332526,2017-03-31
32527,332527,2017-03-30
32528,332528,2017-03-29
32529,332529,2017-03-28
32530,332530,2017-03-27
32531,332531,2017-03-26
32532,332532,2017-03-25
32533,332533,2017-03-24
32534,332534,2017-03-23
32535,332535,2017-03-22
32536,332536,2017-03-21
32537,332537,2017-03-20
32538,332538,2017-03-19
32539,332539,2017-03-18
32540,332540,2017-03-17
32541,332541,2017-03-16
32542,332542,2017-03-15
32543,332543,2017-03-14
32544,332544,2017-03-13
32545,332545,2017-03-12
32546,332546,2017-03-11
32547,332547,2017-03-10
32548,332548,2017-03-09
32549,332549,2017-03-08
32550,332550,2017-03-07
32551,332551,2017-03-06
32552,332552,2017-03-05
32553,332553,2017-03-04
32554,332554,2017-03-03
32555,332555,2017-03-02
32556,332556,2017-03-01
32557,332557,2017-02-28
32558,332558,2017-02-27
32559,332559,2017-02-26
32560,332560,2017-02-25
32561,332561,2017-02-24
32562,332562,2017-02-23
32563,332563,2017-02-22
32564,332564,2017-02-21
32565,332565,2017-02-20
32566,332566,2017-02-19
32567,332567,2017-02-18
32568,332568,2017-02-17
32569,332569,2017-02-16
32570,332570,2017-02-15
32571,332571,2017-02-14
32572,332572,2017-02-13
32573,332573,2017-02-12
32574,332574,2017-02-11
32575,332575,2017-02-10
32576,332576,2017-02-09
32577,332577,2017-02-08
32578,332578,2017-02-07
32579,332579,2017-02-06
32580,332580,2017-02-05
32581,332581,2017-02-04
32582,332582,2017-02-03
32583,332583,2017-02-02
32584,332584,2017-02-01
32585,332585,2017-01-31
32586,332586,2017-01-30
32587,332587,2017-01-29
32588,332588,2017-01-28
32589,332589,2017-01-27
32590,332590,2017-01-26
32591,332591,2017-01-25
32592,332592,2017-01-24
32593,332593,2017-01-23
32594,332594,2017-01-22
32595,332595,2017-01-21
32596,332596,2017-01-20
32597,332597,2017-01-19
32598,332598,2017-01-18
32599,332599,2017-01-17
32600,332600,2017-01-16
32601,332601,2017-01-15
32602,332602,2017-01-14
32603,332603,2017-01-13
32604,332604,2017-01-12
32605,332605,2017-01-11
32606,332606,2017-01-10
32607,332607,2017-01-09
32608,332608,2017-01-08
32609,332609,2017-01-07
32610,332610,2017-01-06
32611,332611,2017-01-05
32612,332612,2017-01-04
32613,332613,2017-01-03
32614,332614,2017-01-02
32615,332615,2017-01-01
32616,332616,2016-12-31
32617,332617,2016-12-30
32618,332618,2016-12-29
32619,332619,2016-12-28
32620,332620,2016-12-27
32621,332621,2016-12-26
32622,332622,2016-12-25
32623,332623,2016-12-24
32624,332624,2016-12-23
32625,332625,2016-12-22
32626,332626,2016-12-21
32627,332627,2016-12-20
32628,332628,2016-12-19
32629,332629,2016-12-18
32630,332630,2016-12-17
32631,332631,2016-12-16
32632,332632,2016-12-15
32633,332633,2016-12-14
32634,332634,2016-12-13
32635,332635,2016-12-12
32636,332636,2016-12-11
32637,332637,2016-12-10
32638,332638,2016-12-09
32639,332639,2016-12-08
32640,332640,2016-12-07
32641,332641,2016-12-06
32642,332642,2016-12-05
32643,332643,2016-12-04
32644,332644,2016-12-03
32645,332645,2016-12-02
32646,332646,2016-12-01
32647,332647,2016-11-30
32648,332648,2016-11-29
32649,332649,2016-11-28
32650,332650,2016-11-27
32651,332651,2016-11-26
32652,332652,2016-11-25
32653,332653,2016-11-24
32654,332654,2016-11-23
32655,332655,2016-11-22
32656,332656,2016-11-21
32657,332657,2016-11-20
32658,332658,2016-11-19
32659,332659,2016-11-18
32660,332660,2016-11-17
32661,332661,2016-11-16
32662,332662,2016-11-15
32663,332663,2016-11-14
32664,332664,2016-11-13
32665,332665,2016-11-12
32666,332666,2016-11-11
32667,332667,2016-11-10
32668,332668,2016-11-09
32669,332669,2016-11-08
32670,332670,2016-11-07
32671,332671,2016-11-06
32672,332672,2016-11-05
32673,332673,2016-11-04
32674,332674,2016-11-03
32675,332675,2016-11-02
32676,332676,2016-11-01
32677,332677,2016-10-31
32678,332678,2016-10-30
32679,332679,2016-10-29
32680,332680,2016-10-28
32681,332681,2016-10-27
32682,332682,2016-10-26
32683,332683,2016-10-25
32684,332684,2016-10-24
32685,332685,2016-10-23
32686,332686,2016-10-22
32687,332687,2016-10-21
32688,332688,2016-10-20
32689,332689,2016-10-19
32690,332690,2016-10-18
32691,332691,2016-10-17
32692,332692,2016-10-16
32693,332693,2016-10-15
32694,332694,2016-10-14
32695,332695,2016-10-13
32696,332696,2016-10-12
32697,332697,2016-10-11
32698,332698,2016-10-10
32699,332699,2016-10-09
32700,332700,2016-10-08
32701,332701,2016-10-07
32702,332702,2016-10-06
32703,332703,2016-10-05
32704,332704,2016-10-04
32705,332705,2016-10-03
32706,332706,2016-10-02
32707,332707,2016-10-01
32708,332708,2016-09-30
32709,332709,2016-09-29
32710,332710,2016-09-28
32711,332711,2016-09-27
32712,332712,2016-09-26
32713,332713,2016-09-25
32714,332714,2016-09-24
32715,332715,2016-09-23
32716,332716,2016-09-22
32717,332717,2016-09-21
32718,332718,2016-09-20
32719,332719,2016-09-19
32720,332720,2016-09-18
32721,332721,2016-09-17
32722,332722,2016-09-16
32723,332723,2016-09-15
32724,332724,2016-09-14
32725,332725,2016-09-13
32726,332726,2016-09-12
32727,332727,2016-09-11
32728,332728,2016-09-10
32729,332729,2016-09-09
32730,332730,2016-09-08
32731,332731,2016-09-07
32732,332732,2016-09-06
32733,332733,2016-09-05
32734,332734,2016-09-04
32735,332735,2016-09-03
32736,332736,2016-09-02
32737,332737,2016-09-01
32738,332738,2016-08-31
32739,332739,2016-08-30
32740,332740,2016-08-29
32741,332741,2016-08-28
32742,332742,2016-08-27
32743,332743,2016-08-26
32744,332744,2016-08-25
32745,332745,2016-08-24
32746,332746,2016-08-23
32747,332747,2016-08-22
32748,332748,2016-08-21
32749,332749,2016-08-20
32750,332750,2016-08-19
32751,332751,2016-08-18
32752,332752,2016-08-17
32753,332753,2016-08-16
32754,332754,2016-08-15
32755,332755,2016-08-14
32756,332756,2016-08-13
32757,332757,2016-08-12
32758,332758,2016-08-11
32759,332759,2016-08-10
32760,332760,2016-08-09
32761,332761,2016-08-08
32762,332762,2016-08-07
32763,332763,2016-08-06
32764,332764,2016-08-05
32765,332765,2016-08-04
32766,332766,2016-08-03
32767,332767,2016-08-02
32768,332768,2016-08-01
32769,332769,2016-07-31
32770,332770,2016-07-30
32771,332771,2016-07-29
32772,332772,2016-07-28
32773,332773,2016-07-27
32774,332774,2016-07-26
32775,332775,2016-07-25
32776,332776,2016-07-24
32777,332777,2016-07-23
32778,332778,2016-07-22
32779,332779,2016-07-21
32780,332780,2016-07-20
32781,332781,2016-07-19
32782,332782,2016-07-18
32783,332783,2016-07-17
32784,332784,2016-07-16
32785,332785,2016-07-15
32786,332786,2016-07-14
32787,332787,2016-07-13
32788,332788,2016-07-12
32789,332789,2016-07-11
32790,332790,2016-07-10
32791,332791,2016-07-09
32792,332792,2016-07-08
32793,332793,2016-07-07
32794,332794,2016-07-06
32795,332795,2016-07-05
32796,332796,2016-07-04
32797,332797,2016-07-03
32798,332798,2016-07-02
32799,332799,2016-07-01
32800,332800,2016-06-30
32801,332801,2016-06-29
32802,332802,2016-06-28
32803,332803,2016-06-27
32804,332804,2016-06-26
32805,332805,2016-06-25
32806,332806,2016-06-24
32807,332807,2016-06-23
32808,332808,2016-06-22
32809,332809,2016-06-21
32810,332810,2016-06-20
32811,332811,2016-06-19
32812,332812,2016-06-18
32813,332813,2016-06-17
32814,332814,2016-06-16
32815,332815,2016-06-15
32816,332816,2016-06-14
32817,332817,2016-06-13
32818,332818,2016-06-12
32819,332819,2016-06-11
32820,332820,2016-06-10
32821,332821,2016-06-09
32822,332822,2016-06-08
32823,332823,2016-06-07
32824,332824,2016-06-06
32825,332825,2016-06-05
32826,332826,2016-06-04
32827,332827,2016-06-03
32828,332828,2016-06-02
32829,332829,2016-06-01
32830,332830,2016-05-31
32831,332831,2016-05-30
32832,332832,2016-05-29
32833,332833,2016-05-28
32834,332834,2016-05-27
32835,332835,2016-05-26
32836,332836,2016-05-25
32837,332837,2016-05-24
32838,332838,2016-05-23
32839,332839,2016-05-22
32840,332840,2016-05-21
32841,332841,2016-05-20
32842,332842,2016-05-19
32843,332843,2016-05-18
32844,332844,2016-05-17
32845,332845,2016-05-16
32846,332846,2016-05-15
32847,332847,2016-05-14
32848,332848,2016-05-13
32849,332849,2016-05-12
32850,332850,2016-05-11
32851,332851,2016-05-10
32852,332852,2016-05-09
32853,332853,2016-05-08
32854,332854,2016-05-07
32855,332855,2016-05-06
32856,332856,2016-05-05
32857,332857,2016-05-04
32858,332858,2016-05-03
32859,332859,2016-05-02
32860,332860,2016-05-01
32861,332861,2016-04-30
32862,332862,2016-04-29
32863,332863,2016-04-28
32864,332864,2016-04-27
32865,332865,2016-04-26
32866,332866,2016-04-25
32867,332867,2016-04-24
32868,332868,2016-04-23
32869,332869,2016-04-22
32870,332870,2016-04-21
32871,332871,2016-04-20
32872,332872,2016-04-19
32873,332873,2016-04-18
32874,332874,2016-04-17
32875,332875,2016-04-16
32876,332876,2016-04-15
32877,332877,2016-04-14
32878,332878,2016-04-13
32879,332879,2016-04-12
32880,332880,2016-04-11
32881,332881,2016-04-10
32882,332882,2016-04-09
32883,332883,2016-04-08
32884,332884,2016-04-07
32885,332885,2016-04-06
32886,332886,2016-04-05
32887,332887,2016-04-04
32888,332888,2016-04-03
32889,332889,2016-04-02
32890,332890,2016-04-01
32891,332891,2016-03-31
32892,332892,2016-03-30
32893,332893,2016-03-29
32894,332894,2016-03-28
32895,332895,2016-03-27
32896,332896,2016-03-26
32897,332897,2016-03-25
32898,332898,2016-03-24
32899,332899,2016-03-23
32900,332900,2016-03-22
32901,332901,2016-03-21
32902,332902,2016-03-20
32903,332903,2016-03-19
32904,332904,2016-03-18
32905,332905,2016-03-17
32906,332906,2016-03-16
32907,332907,2016-03-15
32908,332908,2016-03-14
32909,332909,2016-03-13
32910,332910,2016-03-12
32911,332911,2016-03-11
32912,332912,2016-03-10
32913,332913,2016-03-09
32914,332914,2016-03-08
32915,332915,2016-03-07
32916,332916,2016-03-06
32917,332917,2016-03-05
32918,332918,2016-03-04
32919,332919,2016-03-03
32920,332920,2016-03-02
32921,332921,2016-03-01
32922,332922,2016-02-29
32923,332923,2016-02-28
32924,332924,2016-02-27
32925,332925,2016-02-26
32926,332926,2016-02-25
32927,332927,2016-02-24
32928,332928,2016-02-23
32929,332929,2016-02-22
32930,332930,2016-02-21
32931,332931,2016-02-20
32932,332932,2016-02-19
32933,332933,2016-02-18
32934,332934,2016-02-17
32935,332935,2016-02-16
32936,332936,2016-02-15
32937,332937,2016-02-14
32938,332938,2016-02-13
32939,332939,2016-02-12
32940,332940,2016-02-11
32941,332941,2016-02-10
32942,332942,2016-02-09
32943,332943,2016-02-08
32944,332944,2016-02-07
32945,332945,2016-02-06
32946,332946,2016-02-05
32947,332947,2016-02-04
32948,332948,2016-02-03
32949,332949,2016-02-02
32950,332950,2016-02-01
32951,332951,2016-01-31
32952,332952,2016-01-30
32953,332953,2016-01-29
32954,332954,2016-01-28
32955,332955,2016-01-27
32956,332956,2016-01-26
32957,332957,2016-01-25
32958,332958,2016-01-24
32959,332959,2016-01-23
32960,332960,2016-01-22
32961,332961,2016-01-21
32962,332962,2016-01-20
32963,332963,2016-01-19
32964,332964,2016-01-18
32965,332965,2016-01-17
32966,332966,2016-01-16
32967,332967,2016-01-15
32968,332968,2016-01-14
32969,332969,2016-01-13
32970,332970,2016-01-12
32971,332971,2016-01-11
32972,332972,2016-01-10
32973,332973,2016-01-09
32974,332974,2016-01-08
32975,332975,2016-01-07
32976,332976,2016-01-06
32977,332977,2016-01-05
32978,332978,2016-01-04
32979,332979,2016-01-03
32980,332980,2016-01-02
32981,332981,2016-01-01
32982,332982,2015-12-31
32983,332983,2015-12-30
32984,332984,2015-12-29
32985,332985,2015-12-28
32986,332986,2015-12-27
32987,332987,2015-12-26
32988,332988,2015-12-25
32989,332989,2015-12-24
32990,332990,2015-12-23
32991,332991,2015-12-22
32992,332992,2015-12-21
32993,332993,2015-12-20
32994,332994,2015-12-19
32995,332995,2015-12-18
32996,332996,2015-12-17
32997,332997,2015-12-16
32998,332998,2015-12-15
32999,332999,2015-12-14
33000,333000,2015-12-13
33001,333001,2015-12-12
33002,333002,2015-12-11
33003,333003,2015-12-10
33004,333004,2015-12-09
33005,333005,2015-12-08
33006,333006,2015-12-07
33007,333007,2015-12-06
33008,333008,2015-12-05
33009,333009,2015-12-04
33010,333010,2015-12-03
33011,333011,2015-12-02
33012,333012,2015-12-01
33013,333013,2015-11-30
33014,333014,2015-11-29
33015,333015,2015-11-28
33016,333016,2015-11-27
33017,333017,2015-11-26
33018,333018,2015-11-25
33019,333019,2015-11-24
33020,333020,2015-11-23
33021,333021,2015-11-22
33022,333022,2015-11-21
33023,333023,2015-11-20
33024,333024,2015-11-19
33025,333025,2015-11-18
33026,333026,2015-11-17
33027,333027,2015-11-16
33028,333028,2015-11-15
33029,333029,2015-11-14
33030,333030,2015-11-13
33031,333031,2015-11-12
33032,333032,2015-11-11
33033,333033,2015-11-10
33034,333034,2015-11-09
33035,333035,2015-11-08
33036,333036,2015-11-07
33037,333037,2015-11-06
33038,333038,2015-11-05
33039,333039,2015-11-04
33040,333040,2015-11-03
33041,333041,2015-11-02
33042,333042,2015-11-01
33043,333043,2015-10-31
33044,333044,2015-10-30
33045,333045,2015-10-29
33046,333046,2015-10-28
33047,333047,2015-10-27
33048,333048,2015-10-26
33049,333049,2015-10-25
33050,333050,2015-10-24
33051,333051,2015-10-23
33052,333052,2015-10-22
33053,333053,2015-10-21
33054,333054,2015-10-20
33055,333055,2015-10-19
33056,333056,2015-10-18
33057,333057,2015-10-17
33058,333058,2015-10-16
33059,333059,2015-10-15
33060,333060,2015-10-14
33061,333061,2015-10-13
33062,333062,2015-10-12
33063,333063,2015-10-11
33064,333064,2015-10-10
33065,333065,2015-10-09
33066,333066,2015-10-08
33067,333067,2015-10-07
33068,333068,2015-10-06
33069,333069,2015-10-05
33070,333070,2015-10-04
33071,333071,2015-10-03
33072,333072,2015-10-02
33073,333073,2015-10-01
33074,333074,2015-09-30
33075,333075,2015-09-29
33076,333076,2015-09-28
33077,333077,2015-09-27
33078,333078,2015-09-26
33079,333079,2015-09-25
33080,333080,2015-09-24
33081,333081,2015-09-23
33082,333082,2015-09-22
33083,333083,2015-09-21
33084,333084,2015-09-20
33085,333085,2015-09-19
33086,333086,2015-09-18
33087,333087,2015-09-17
33088,333088,2015-09-16
33089,333089,2015-09-15
33090,333090,2015-09-14
33091,333091,2015-09-13
33092,333092,2015-09-12
33093,333093,2015-09-11
33094,333094,2015-09-10
33095,333095,2015-09-09
33096,333096,2015-09-08
33097,333097,2015-09-07
33098,333098,2015-09-06
33099,333099,2015-09-05
33100,333100,2015-09-04
33101,333101,2015-09-03
33102,333102,2015-09-02
33103,333103,2015-09-01
33104,333104,2015-08-31
33105,333105,2015-08-30
33106,333106,2015-08-29
33107,333107,2015-08-28
33108,333108,2015-08-27
33109,333109,2015-08-26
33110,333110,2015-08-25
33111,333111,2015-08-24
33112,333112,2015-08-23
33113,333113,2015-08-22
33114,333114,2015-08-21
33115,333115,2015-08-20
33116,333116,2015-08-19
33117,333117,2015-08-18
33118,333118,2015-08-17
33119,333119,2015-08-16
33120,333120,2015-08-15
33121,333121,2015-08-14
33122,333122,2015-08-13
33123,333123,2015-08-12
33124,333124,2015-08-11
33125,333125,2015-08-10
33126,333126,2015-08-09
33127,333127,2015-08-08
33128,333128,2015-08-07
33129,333129,2015-08-06
33130,333130,2015-08-05
33131,333131,2015-08-04
33132,333132,2015-08-03
33133,333133,2015-08-02
33134,333134,2015-08-01
33135,333135,2015-07-31
33136,333136,2015-07-30
33137,333137,2015-07-29
33138,333138,2015-07-28
33139,333139,2015-07-27
33140,333140,2015-07-26
33141,333141,2015-07-25
33142,333142,2015-07-24
33143,333143,2015-07-23
33144,333144,2015-07-22
33145,333145,2015-07-21
33146,333146,2015-07-20
33147,333147,2015-07-19
33148,333148,2015-07-18
33149,333149,2015-07-17
33150,333150,2015-07-16
33151,333151,2015-07-15
33152,333152,2015-07-14
33153,333153,2015-07-13
33154,333154,2015-07-12
33155,333155,2015-07-11
33156,333156,2015-07-10
33157,333157,2015-07-09
33158,333158,2015-07-08
33159,333159,2015-07-07
33160,333160,2015-07-06
33161,333161,2015-07-05
33162,333162,2015-07-04
33163,333163,2015-07-03
33164,333164,2015-07-02
33165,333165,2015-07-01
33166,333166,2015-06-30
33167,333167,2015-06-29
33168,333168,2015-06-28
33169,333169,2015-06-27
33170,333170,2015-06-26
33171,333171,2015-06-25
33172,333172,2015-06-24
33173,333173,2015-06-23
33174,333174,2015-06-22
33175,333175,2015-06-21
33176,333176,2015-06-20
33177,333177,2015-06-19
33178,333178,2015-06-18
33179,333179,2015-06-17
33180,333180,2015-06-16
33181,333181,2015-06-15
33182,333182,2015-06-14
33183,333183,2015-06-13
33184,333184,2015-06-12
33185,333185,2015-06-11
33186,333186,2015-06-10
33187,333187,2015-06-09
33188,333188,2015-06-08
33189,333189,2015-06-07
33190,333190,2015-06-06
33191,333191,2015-06-05
33192,333192,2015-06-04
33193,333193,2015-06-03
33194,333194,2015-06-02
33195,333195,2015-06-01
33196,333196,2015-05-31
33197,333197,2015-05-30
33198,333198,2015-05-29
33199,333199,2015-05-28
33200,333200,2015-05-27
33201,333201,2015-05-26
33202,333202,2015-05-25
33203,333203,2015-05-24
33204,333204,2015-05-23
33205,333205,2015-05-22
33206,333206,2015-05-21
33207,333207,2015-05-20
33208,333208,2015-05-19
33209,333209,2015-05-18
33210,333210,2015-05-17
33211,333211,2015-05-16
33212,333212,2015-05-15
33213,333213,2015-05-14
33214,333214,2015-05-13
33215,333215,2015-05-12
33216,333216,2015-05-11
33217,333217,2015-05-10
33218,333218,2015-05-09
33219,333219,2015-05-08
33220,333220,2015-05-07
33221,333221,2015-05-06
33222,333222,2015-05-05
33223,333223,2015-05-04
33224,333224,2015-05-03
33225,333225,2015-05-02
33226,333226,2015-05-01
33227,333227,2015-04-30
33228,333228,2015-04-29
33229,333229,2015-04-28
33230,333230,2015-04-27
33231,333231,2015-04-26
33232,333232,2015-04-25
33233,333233,2015-04-24
33234,333234,2015-04-23
33235,333235,2015-04-22
33236,333236,2015-04-21
33237,333237,2015-04-20
33238,333238,2015-04-19
33239,333239,2015-04-18
33240,333240,2015-04-17
33241,333241,2015-04-16
33242,333242,2015-04-15
33243,333243,2015-04-14
33244,333244,2015-04-13
33245,333245,2015-04-12
33246,333246,2015-04-11
33247,333247,2015-04-10
33248,333248,2015-04-09
33249,333249,2015-04-08
33250,333250,2015-04-07
33251,333251,2015-04-06
33252,333252,2015-04-05
33253,333253,2015-04-04
33254,333254,2015-04-03
33255,333255,2015-04-02
33256,333256,2015-04-01
33257,333257,2015-03-31
33258,333258,2015-03-30
33259,333259,2015-03-29
33260,333260,2015-03-28
33261,333261,2015-03-27
33262,333262,2015-03-26
33263,333263,2015-03-25
33264,333264,2015-03-24
33265,333265,2015-03-23
33266,333266,2015-03-22
33267,333267,2015-03-21
33268,333268,2015-03-20
33269,333269,2015-03-19
33270,333270,2015-03-18
33271,333271,2015-03-17
33272,333272,2015-03-16
33273,333273,2015-03-15
33274,333274,2015-03-14
33275,333275,2015-03-13
33276,333276,2015-03-12
33277,333277,2015-03-11
33278,333278,2015-03-10
33279,333279,2015-03-09
33280,333280,2015-03-08
33281,333281,2015-03-07
33282,333282,2015-03-06
